Analog Frequency	Magnitude 	Phase
310.499	0.426366	169.861
310.678	0.426612	169.855
310.858	0.426858	169.85
311.038	0.427104	169.844
311.218	0.42735	169.838
311.398	0.427596	169.832
311.578	0.427842	169.826
311.758	0.428088	169.82
311.937	0.428334	169.814
312.117	0.42858	169.808
312.297	0.428826	169.803
312.477	0.429072	169.797
312.657	0.429318	169.791
312.837	0.429564	169.785
313.017	0.42981	169.779
313.196	0.430056	169.773
313.376	0.430302	169.767
313.556	0.430548	169.761
313.736	0.430795	169.756
313.916	0.431041	169.75
314.096	0.431287	169.744
314.276	0.431533	169.738
314.456	0.431779	169.732
314.635	0.432025	169.726
314.815	0.432271	169.72
314.995	0.432517	169.714
315.175	0.432763	169.709
315.355	0.433009	169.703
315.535	0.433255	169.697
315.715	0.433501	169.691
315.894	0.433747	169.685
316.074	0.433993	169.679
316.254	0.434239	169.673
316.434	0.434485	169.667
316.614	0.434731	169.662
316.794	0.434977	169.656
316.974	0.435223	169.65
317.153	0.435469	169.644
317.333	0.435715	169.638
317.513	0.435961	169.632
317.693	0.436207	169.626
317.873	0.436453	169.62
318.053	0.436699	169.615
318.233	0.436945	169.609
318.413	0.437191	169.603
318.592	0.437437	169.597
318.772	0.437683	169.591
318.952	0.437929	169.585
319.132	0.438175	169.579
319.312	0.43842	169.573
319.492	0.438666	169.568
319.672	0.438912	169.562
319.851	0.439158	169.556
320.031	0.439404	169.55
320.211	0.43965	169.544
320.391	0.439896	169.538
320.571	0.440142	169.532
320.751	0.440388	169.527
320.931	0.440634	169.521
321.11	0.44088	169.515
321.29	0.441126	169.509
321.47	0.441372	169.503
321.65	0.441618	169.497
321.83	0.441864	169.491
322.01	0.44211	169.485
322.19	0.442356	169.48
322.37	0.442602	169.474
322.549	0.442848	169.468
322.729	0.443094	169.462
322.909	0.44334	169.456
323.089	0.443586	169.45
323.269	0.443832	169.444
323.449	0.444077	169.438
323.629	0.444323	169.433
323.808	0.444569	169.427
323.988	0.444815	169.421
324.168	0.445061	169.415
324.348	0.445307	169.409
324.528	0.445553	169.403
324.708	0.445799	169.397
324.888	0.446045	169.391
325.067	0.446291	169.386
325.247	0.446537	169.38
325.427	0.446783	169.374
325.607	0.447029	169.368
325.787	0.447274	169.362
325.967	0.44752	169.356
326.147	0.447766	169.35
326.326	0.448012	169.344
326.506	0.448258	169.339
326.686	0.448504	169.333
326.866	0.44875	169.327
327.046	0.448996	169.321
327.226	0.449242	169.315
327.406	0.449488	169.309
327.586	0.449734	169.303
327.765	0.449979	169.297
327.945	0.450225	169.292
328.125	0.450471	169.286
328.305	0.450717	169.28
328.485	0.450963	169.274
328.665	0.451209	169.268
328.845	0.451455	169.262
329.024	0.451701	169.256
329.204	0.451947	169.25
329.384	0.452192	169.245
329.564	0.452438	169.239
329.744	0.452684	169.233
329.924	0.45293	169.227
330.104	0.453176	169.221
330.283	0.453422	169.215
330.463	0.453668	169.209
330.643	0.453914	169.203
330.823	0.454159	169.198
331.003	0.454405	169.192
331.183	0.454651	169.186
331.363	0.454897	169.18
331.543	0.455143	169.174
331.722	0.455389	169.168
331.902	0.455635	169.162
332.082	0.45588	169.157
332.262	0.456126	169.151
332.442	0.456372	169.145
332.622	0.456618	169.139
332.802	0.456864	169.133
332.981	0.45711	169.127
333.161	0.457355	169.121
333.341	0.457601	169.115
333.521	0.457847	169.11
333.701	0.458093	169.104
333.881	0.458339	169.098
334.061	0.458585	169.092
334.24	0.458831	169.086
334.42	0.459076	169.08
334.6	0.459322	169.074
334.78	0.459568	169.068
334.96	0.459814	169.063
335.14	0.46006	169.057
335.32	0.460305	169.051
335.5	0.460551	169.045
335.679	0.460797	169.039
335.859	0.461043	169.033
336.039	0.461289	169.027
336.219	0.461535	169.021
336.399	0.46178	169.016
336.579	0.462026	169.01
336.759	0.462272	169.004
336.938	0.462518	168.998
337.118	0.462764	168.992
337.298	0.463009	168.986
337.478	0.463255	168.98
337.658	0.463501	168.974
337.838	0.463747	168.969
338.018	0.463993	168.963
338.197	0.464238	168.957
338.377	0.464484	168.951
338.557	0.46473	168.945
338.737	0.464976	168.939
338.917	0.465222	168.933
339.097	0.465467	168.927
339.277	0.465713	168.922
339.457	0.465959	168.916
339.636	0.466205	168.91
339.816	0.466451	168.904
339.996	0.466696	168.898
340.176	0.466942	168.892
340.356	0.467188	168.886
340.536	0.467434	168.88
340.716	0.467679	168.875
340.895	0.467925	168.869
341.075	0.468171	168.863
341.255	0.468417	168.857
341.435	0.468662	168.851
341.615	0.468908	168.845
341.795	0.469154	168.839
341.975	0.4694	168.833
342.154	0.469645	168.828
342.334	0.469891	168.822
342.514	0.470137	168.816
342.694	0.470383	168.81
342.874	0.470628	168.804
343.054	0.470874	168.798
343.234	0.47112	168.792
343.413	0.471366	168.786
343.593	0.471611	168.781
343.773	0.471857	168.775
343.953	0.472103	168.769
344.133	0.472349	168.763
344.313	0.472594	168.757
344.493	0.47284	168.751
344.673	0.473086	168.745
344.852	0.473332	168.74
345.032	0.473577	168.734
345.212	0.473823	168.728
345.392	0.474069	168.722
345.572	0.474315	168.716
345.752	0.47456	168.71
345.932	0.474806	168.704
346.111	0.475052	168.698
346.291	0.475297	168.693
346.471	0.475543	168.687
346.651	0.475789	168.681
346.831	0.476035	168.675
347.011	0.47628	168.669
347.191	0.476526	168.663
347.37	0.476772	168.657
347.55	0.477017	168.651
347.73	0.477263	168.646
347.91	0.477509	168.64
348.09	0.477754	168.634
348.27	0.478	168.628
348.45	0.478246	168.622
348.63	0.478492	168.616
348.809	0.478737	168.61
348.989	0.478983	168.604
349.169	0.479229	168.599
349.349	0.479474	168.593
349.529	0.47972	168.587
349.709	0.479966	168.581
349.889	0.480211	168.575
350.068	0.480457	168.569
350.248	0.480703	168.563
350.428	0.480948	168.557
350.608	0.481194	168.552
350.788	0.48144	168.546
350.968	0.481685	168.54
351.148	0.481931	168.534
351.327	0.482177	168.528
351.507	0.482422	168.522
351.687	0.482668	168.516
351.867	0.482914	168.51
352.047	0.483159	168.505
352.227	0.483405	168.499
352.407	0.483651	168.493
352.587	0.483896	168.487
352.766	0.484142	168.481
352.946	0.484388	168.475
353.126	0.484633	168.469
353.306	0.484879	168.463
353.486	0.485125	168.458
353.666	0.48537	168.452
353.846	0.485616	168.446
354.025	0.485861	168.44
354.205	0.486107	168.434
354.385	0.486353	168.428
354.565	0.486598	168.422
354.745	0.486844	168.416
354.925	0.48709	168.411
355.105	0.487335	168.405
355.284	0.487581	168.399
355.464	0.487826	168.393
355.644	0.488072	168.387
355.824	0.488318	168.381
356.004	0.488563	168.375
356.184	0.488809	168.37
356.364	0.489055	168.364
356.543	0.4893	168.358
356.723	0.489546	168.352
356.903	0.489791	168.346
357.083	0.490037	168.34
357.263	0.490283	168.334
357.443	0.490528	168.328
357.623	0.490774	168.323
357.803	0.491019	168.317
357.982	0.491265	168.311
358.162	0.491511	168.305
358.342	0.491756	168.299
358.522	0.492002	168.293
358.702	0.492247	168.287
358.882	0.492493	168.281
359.062	0.492739	168.276
359.241	0.492984	168.27
359.421	0.49323	168.264
359.601	0.493475	168.258
359.781	0.493721	168.252
359.961	0.493966	168.246
360.141	0.494212	168.24
360.321	0.494458	168.234
360.5	0.494703	168.229
360.68	0.494949	168.223
360.86	0.495194	168.217
361.04	0.49544	168.211
361.22	0.495685	168.205
361.4	0.495931	168.199
361.58	0.496177	168.193
361.76	0.496422	168.187
361.939	0.496668	168.182
362.119	0.496913	168.176
362.299	0.497159	168.17
362.479	0.497404	168.164
362.659	0.49765	168.158
362.839	0.497895	168.152
363.019	0.498141	168.146
363.198	0.498387	168.14
363.378	0.498632	168.135
363.558	0.498878	168.129
363.738	0.499123	168.123
363.918	0.499369	168.117
364.098	0.499614	168.111
364.278	0.49986	168.105
364.457	0.500105	168.099
364.637	0.500351	168.093
364.817	0.500596	168.088
364.997	0.500842	168.082
365.177	0.501087	168.076
365.357	0.501333	168.07
365.537	0.501578	168.064
365.717	0.501824	168.058
365.896	0.502069	168.052
366.076	0.502315	168.046
366.256	0.50256	168.041
366.436	0.502806	168.035
366.616	0.503051	168.029
366.796	0.503297	168.023
366.976	0.503542	168.017
367.155	0.503788	168.011
367.335	0.504033	168.005
367.515	0.504279	168
367.695	0.504524	167.994
367.875	0.50477	167.988
368.055	0.505015	167.982
368.235	0.505261	167.976
368.414	0.505506	167.97
368.594	0.505752	167.964
368.774	0.505997	167.958
368.954	0.506243	167.953
369.134	0.506488	167.947
369.314	0.506734	167.941
369.494	0.506979	167.935
369.674	0.507225	167.929
369.853	0.50747	167.923
370.033	0.507716	167.917
370.213	0.507961	167.911
370.393	0.508207	167.906
370.573	0.508452	167.9
370.753	0.508698	167.894
370.933	0.508943	167.888
371.112	0.509189	167.882
371.292	0.509434	167.876
371.472	0.509679	167.87
371.652	0.509925	167.864
371.832	0.51017	167.859
372.012	0.510416	167.853
372.192	0.510661	167.847
372.371	0.510907	167.841
372.551	0.511152	167.835
372.731	0.511398	167.829
372.911	0.511643	167.823
373.091	0.511888	167.817
373.271	0.512134	167.812
373.451	0.512379	167.806
373.63	0.512625	167.8
373.81	0.51287	167.794
373.99	0.513116	167.788
374.17	0.513361	167.782
374.35	0.513606	167.776
374.53	0.513852	167.77
374.71	0.514097	167.765
374.89	0.514343	167.759
375.069	0.514588	167.753
375.249	0.514834	167.747
375.429	0.515079	167.741
375.609	0.515324	167.735
375.789	0.51557	167.729
375.969	0.515815	167.723
376.149	0.516061	167.718
376.328	0.516306	167.712
376.508	0.516551	167.706
376.688	0.516797	167.7
376.868	0.517042	167.694
377.048	0.517288	167.688
377.228	0.517533	167.682
377.408	0.517778	167.676
377.587	0.518024	167.671
377.767	0.518269	167.665
377.947	0.518515	167.659
378.127	0.51876	167.653
378.307	0.519005	167.647
378.487	0.519251	167.641
378.667	0.519496	167.635
378.847	0.519741	167.63
379.026	0.519987	167.624
379.206	0.520232	167.618
379.386	0.520478	167.612
379.566	0.520723	167.606
379.746	0.520968	167.6
379.926	0.521214	167.594
380.106	0.521459	167.588
380.285	0.521704	167.583
380.465	0.52195	167.577
380.645	0.522195	167.571
380.825	0.52244	167.565
381.005	0.522686	167.559
381.185	0.522931	167.553
381.365	0.523176	167.547
381.544	0.523422	167.541
381.724	0.523667	167.536
381.904	0.523913	167.53
382.084	0.524158	167.524
382.264	0.524403	167.518
382.444	0.524649	167.512
382.624	0.524894	167.506
382.804	0.525139	167.5
382.983	0.525385	167.494
383.163	0.52563	167.489
383.343	0.525875	167.483
383.523	0.526121	167.477
383.703	0.526366	167.471
383.883	0.526611	167.465
384.063	0.526856	167.459
384.242	0.527102	167.453
384.422	0.527347	167.447
384.602	0.527592	167.442
384.782	0.527838	167.436
384.962	0.528083	167.43
385.142	0.528328	167.424
385.322	0.528574	167.418
385.501	0.528819	167.412
385.681	0.529064	167.406
385.861	0.52931	167.4
386.041	0.529555	167.395
386.221	0.5298	167.389
386.401	0.530045	167.383
386.581	0.530291	167.377
386.761	0.530536	167.371
386.94	0.530781	167.365
387.12	0.531027	167.359
387.3	0.531272	167.353
387.48	0.531517	167.348
387.66	0.531762	167.342
387.84	0.532008	167.336
388.02	0.532253	167.33
388.199	0.532498	167.324
388.379	0.532744	167.318
388.559	0.532989	167.312
388.739	0.533234	167.306
388.919	0.533479	167.301
389.099	0.533725	167.295
389.279	0.53397	167.289
389.458	0.534215	167.283
389.638	0.53446	167.277
389.818	0.534706	167.271
389.998	0.534951	167.265
390.178	0.535196	167.259
390.358	0.535441	167.254
390.538	0.535687	167.248
390.717	0.535932	167.242
390.897	0.536177	167.236
391.077	0.536422	167.23
391.257	0.536668	167.224
391.437	0.536913	167.218
391.617	0.537158	167.213
391.797	0.537403	167.207
391.977	0.537648	167.201
392.156	0.537894	167.195
392.336	0.538139	167.189
392.516	0.538384	167.183
392.696	0.538629	167.177
392.876	0.538875	167.171
393.056	0.53912	167.166
393.236	0.539365	167.16
393.415	0.53961	167.154
393.595	0.539855	167.148
393.775	0.540101	167.142
393.955	0.540346	167.136
394.135	0.540591	167.13
394.315	0.540836	167.124
394.495	0.541081	167.119
394.674	0.541327	167.113
394.854	0.541572	167.107
395.034	0.541817	167.101
395.214	0.542062	167.095
395.394	0.542307	167.089
395.574	0.542553	167.083
395.754	0.542798	167.077
395.934	0.543043	167.072
396.113	0.543288	167.066
396.293	0.543533	167.06
396.473	0.543779	167.054
396.653	0.544024	167.048
396.833	0.544269	167.042
397.013	0.544514	167.036
397.193	0.544759	167.03
397.372	0.545004	167.025
397.552	0.54525	167.019
397.732	0.545495	167.013
397.912	0.54574	167.007
398.092	0.545985	167.001
398.272	0.54623	166.995
398.452	0.546475	166.989
398.631	0.546721	166.983
398.811	0.546966	166.978
398.991	0.547211	166.972
399.171	0.547456	166.966
399.351	0.547701	166.96
399.531	0.547946	166.954
399.711	0.548191	166.948
399.891	0.548437	166.942
400.07	0.548682	166.936
400.25	0.548927	166.931
400.43	0.549172	166.925
400.61	0.549417	166.919
400.79	0.549662	166.913
400.97	0.549907	166.907
401.15	0.550153	166.901
401.329	0.550398	166.895
401.509	0.550643	166.889
401.689	0.550888	166.884
401.869	0.551133	166.878
402.049	0.551378	166.872
402.229	0.551623	166.866
402.409	0.551868	166.86
402.588	0.552113	166.854
402.768	0.552359	166.848
402.948	0.552604	166.843
403.128	0.552849	166.837
403.308	0.553094	166.831
403.488	0.553339	166.825
403.668	0.553584	166.819
403.848	0.553829	166.813
404.027	0.554074	166.807
404.207	0.554319	166.801
404.387	0.554564	166.796
404.567	0.554809	166.79
404.747	0.555055	166.784
404.927	0.5553	166.778
405.107	0.555545	166.772
405.286	0.55579	166.766
405.466	0.556035	166.76
405.646	0.55628	166.754
405.826	0.556525	166.749
406.006	0.55677	166.743
406.186	0.557015	166.737
406.366	0.55726	166.731
406.545	0.557505	166.725
406.725	0.55775	166.719
406.905	0.557995	166.713
407.085	0.55824	166.707
407.265	0.558486	166.702
407.445	0.558731	166.696
407.625	0.558976	166.69
407.804	0.559221	166.684
407.984	0.559466	166.678
408.164	0.559711	166.672
408.344	0.559956	166.666
408.524	0.560201	166.66
408.704	0.560446	166.655
408.884	0.560691	166.649
409.064	0.560936	166.643
409.243	0.561181	166.637
409.423	0.561426	166.631
409.603	0.561671	166.625
409.783	0.561916	166.619
409.963	0.562161	166.613
410.143	0.562406	166.608
410.323	0.562651	166.602
410.502	0.562896	166.596
410.682	0.563141	166.59
410.862	0.563386	166.584
411.042	0.563631	166.578
411.222	0.563876	166.572
411.402	0.564121	166.566
411.582	0.564366	166.561
411.761	0.564611	166.555
411.941	0.564856	166.549
412.121	0.565101	166.543
412.301	0.565346	166.537
412.481	0.565591	166.531
412.661	0.565836	166.525
412.841	0.566081	166.519
413.021	0.566326	166.514
413.2	0.566571	166.508
413.38	0.566816	166.502
413.56	0.567061	166.496
413.74	0.567306	166.49
413.92	0.567551	166.484
414.1	0.567796	166.478
414.28	0.568041	166.473
414.459	0.568286	166.467
414.639	0.568531	166.461
414.819	0.568776	166.455
414.999	0.569021	166.449
415.179	0.569266	166.443
415.359	0.569511	166.437
415.539	0.569756	166.431
415.718	0.570001	166.426
415.898	0.570246	166.42
416.078	0.570491	166.414
416.258	0.570735	166.408
416.438	0.57098	166.402
416.618	0.571225	166.396
416.798	0.57147	166.39
416.978	0.571715	166.384
417.157	0.57196	166.379
417.337	0.572205	166.373
417.517	0.57245	166.367
417.697	0.572695	166.361
417.877	0.57294	166.355
418.057	0.573185	166.349
418.237	0.57343	166.343
418.416	0.573675	166.337
418.596	0.57392	166.332
418.776	0.574165	166.326
418.956	0.574409	166.32
419.136	0.574654	166.314
419.316	0.574899	166.308
419.496	0.575144	166.302
419.675	0.575389	166.296
419.855	0.575634	166.29
420.035	0.575879	166.285
420.215	0.576124	166.279
420.395	0.576369	166.273
420.575	0.576614	166.267
420.755	0.576858	166.261
420.935	0.577103	166.255
421.114	0.577348	166.249
421.294	0.577593	166.243
421.474	0.577838	166.238
421.654	0.578083	166.232
421.834	0.578328	166.226
422.014	0.578573	166.22
422.194	0.578818	166.214
422.373	0.579062	166.208
422.553	0.579307	166.202
422.733	0.579552	166.196
422.913	0.579797	166.191
423.093	0.580042	166.185
423.273	0.580287	166.179
423.453	0.580532	166.173
423.632	0.580776	166.167
423.812	0.581021	166.161
423.992	0.581266	166.155
424.172	0.581511	166.149
424.352	0.581756	166.144
424.532	0.582001	166.138
424.712	0.582246	166.132
424.891	0.58249	166.126
425.071	0.582735	166.12
425.251	0.58298	166.114
425.431	0.583225	166.108
425.611	0.58347	166.102
425.791	0.583715	166.097
425.971	0.583959	166.091
426.151	0.584204	166.085
426.33	0.584449	166.079
426.51	0.584694	166.073
426.69	0.584939	166.067
426.87	0.585184	166.061
427.05	0.585428	166.056
427.23	0.585673	166.05
427.41	0.585918	166.044
427.589	0.586163	166.038
427.769	0.586408	166.032
427.949	0.586652	166.026
428.129	0.586897	166.02
428.309	0.587142	166.014
428.489	0.587387	166.009
428.669	0.587632	166.003
428.848	0.587876	165.997
429.028	0.588121	165.991
429.208	0.588366	165.985
429.388	0.588611	165.979
429.568	0.588856	165.973
429.748	0.5891	165.967
429.928	0.589345	165.962
430.108	0.58959	165.956
430.287	0.589835	165.95
430.467	0.590079	165.944
430.647	0.590324	165.938
430.827	0.590569	165.932
431.007	0.590814	165.926
431.187	0.591059	165.92
431.367	0.591303	165.915
431.546	0.591548	165.909
431.726	0.591793	165.903
431.906	0.592038	165.897
432.086	0.592282	165.891
432.266	0.592527	165.885
432.446	0.592772	165.879
432.626	0.593017	165.873
432.805	0.593261	165.868
432.985	0.593506	165.862
433.165	0.593751	165.856
433.345	0.593996	165.85
433.525	0.59424	165.844
433.705	0.594485	165.838
433.885	0.59473	165.832
434.065	0.594974	165.826
434.244	0.595219	165.821
434.424	0.595464	165.815
434.604	0.595709	165.809
434.784	0.595953	165.803
434.964	0.596198	165.797
435.144	0.596443	165.791
435.324	0.596687	165.785
435.503	0.596932	165.779
435.683	0.597177	165.774
435.863	0.597422	165.768
436.043	0.597666	165.762
436.223	0.597911	165.756
436.403	0.598156	165.75
436.583	0.5984	165.744
436.762	0.598645	165.738
436.942	0.59889	165.732
437.122	0.599135	165.727
437.302	0.599379	165.721
437.482	0.599624	165.715
437.662	0.599869	165.709
437.842	0.600113	165.703
438.022	0.600358	165.697
438.201	0.600603	165.691
438.381	0.600847	165.686
438.561	0.601092	165.68
438.741	0.601337	165.674
438.921	0.601581	165.668
439.101	0.601826	165.662
439.281	0.602071	165.656
439.46	0.602315	165.65
439.64	0.60256	165.644
439.82	0.602805	165.639
440	0.603049	165.633
