Analog Frequency	Real 	Imaginary
291.073	0.0660137	0.394295
291.253	0.0660948	0.394531
291.433	0.066176	0.394767
291.613	0.0662572	0.395003
291.793	0.0663384	0.395239
291.973	0.0664197	0.395475
292.152	0.066501	0.395711
292.332	0.0665824	0.395947
292.512	0.0666639	0.396183
292.692	0.0667454	0.396419
292.872	0.0668269	0.396655
293.052	0.0669085	0.396891
293.232	0.0669901	0.397127
293.412	0.0670718	0.397363
293.591	0.0671535	0.397599
293.771	0.0672353	0.397834
293.951	0.0673171	0.39807
294.131	0.067399	0.398306
294.311	0.067481	0.398542
294.491	0.0675629	0.398778
294.671	0.067645	0.399014
294.85	0.067727	0.399249
295.03	0.0678092	0.399485
295.21	0.0678913	0.399721
295.39	0.0679736	0.399957
295.57	0.0680558	0.400192
295.75	0.0681381	0.400428
295.93	0.0682205	0.400664
296.109	0.0683029	0.4009
296.289	0.0683854	0.401135
296.469	0.0684679	0.401371
296.649	0.0685505	0.401606
296.829	0.0686331	0.401842
297.009	0.0687157	0.402078
297.189	0.0687985	0.402313
297.369	0.0688812	0.402549
297.548	0.068964	0.402785
297.728	0.0690469	0.40302
297.908	0.0691298	0.403256
298.088	0.0692127	0.403491
298.268	0.0692957	0.403727
298.448	0.0693788	0.403962
298.628	0.0694619	0.404198
298.807	0.069545	0.404433
298.987	0.0696282	0.404669
299.167	0.0697115	0.404904
299.347	0.0697948	0.405139
299.527	0.0698781	0.405375
299.707	0.0699615	0.40561
299.887	0.0700449	0.405846
300.066	0.0701284	0.406081
300.246	0.070212	0.406316
300.426	0.0702956	0.406552
300.606	0.0703792	0.406787
300.786	0.0704629	0.407022
300.966	0.0705466	0.407258
301.146	0.0706304	0.407493
301.326	0.0707142	0.407728
301.505	0.0707981	0.407964
301.685	0.070882	0.408199
301.865	0.070966	0.408434
302.045	0.07105	0.408669
302.225	0.0711341	0.408904
302.405	0.0712182	0.40914
302.585	0.0713024	0.409375
302.764	0.0713866	0.40961
302.944	0.0714709	0.409845
303.124	0.0715552	0.41008
303.304	0.0716396	0.410315
303.484	0.071724	0.41055
303.664	0.0718084	0.410785
303.844	0.0718929	0.411021
304.023	0.0719775	0.411256
304.203	0.0720621	0.411491
304.383	0.0721468	0.411726
304.563	0.0722315	0.411961
304.743	0.0723162	0.412196
304.923	0.072401	0.412431
305.103	0.0724859	0.412666
305.283	0.0725708	0.412901
305.462	0.0726557	0.413136
305.642	0.0727407	0.41337
305.822	0.0728258	0.413605
306.002	0.0729109	0.41384
306.182	0.072996	0.414075
306.362	0.0730812	0.41431
306.542	0.0731665	0.414545
306.721	0.0732518	0.41478
306.901	0.0733371	0.415015
307.081	0.0734225	0.415249
307.261	0.0735079	0.415484
307.441	0.0735934	0.415719
307.621	0.0736789	0.415954
307.801	0.0737645	0.416188
307.98	0.0738501	0.416423
308.16	0.0739358	0.416658
308.34	0.0740216	0.416893
308.52	0.0741073	0.417127
308.7	0.0741932	0.417362
308.88	0.074279	0.417597
309.06	0.074365	0.417831
309.239	0.0744509	0.418066
309.419	0.0745369	0.4183
309.599	0.074623	0.418535
309.779	0.0747091	0.41877
309.959	0.0747953	0.419004
310.139	0.0748815	0.419239
310.319	0.0749678	0.419473
310.499	0.0750541	0.419708
310.678	0.0751404	0.419942
310.858	0.0752269	0.420177
311.038	0.0753133	0.420411
311.218	0.0753998	0.420646
311.398	0.0754864	0.42088
311.578	0.075573	0.421115
311.758	0.0756596	0.421349
311.937	0.0757463	0.421584
312.117	0.0758331	0.421818
312.297	0.0759199	0.422052
312.477	0.0760067	0.422287
312.657	0.0760936	0.422521
312.837	0.0761805	0.422755
313.017	0.0762675	0.42299
313.196	0.0763546	0.423224
313.376	0.0764417	0.423458
313.556	0.0765288	0.423693
313.736	0.076616	0.423927
313.916	0.0767032	0.424161
314.096	0.0767905	0.424395
314.276	0.0768778	0.424629
314.456	0.0769652	0.424864
314.635	0.0770526	0.425098
314.815	0.0771401	0.425332
314.995	0.0772276	0.425566
315.175	0.0773152	0.4258
315.355	0.0774028	0.426034
315.535	0.0774905	0.426268
315.715	0.0775782	0.426503
315.894	0.077666	0.426737
316.074	0.0777538	0.426971
316.254	0.0778417	0.427205
316.434	0.0779296	0.427439
316.614	0.0780176	0.427673
316.794	0.0781056	0.427907
316.974	0.0781936	0.428141
317.153	0.0782817	0.428375
317.333	0.0783699	0.428609
317.513	0.0784581	0.428843
317.693	0.0785463	0.429077
317.873	0.0786346	0.42931
318.053	0.078723	0.429544
318.233	0.0788114	0.429778
318.413	0.0788998	0.430012
318.592	0.0789883	0.430246
318.772	0.0790769	0.43048
318.952	0.0791655	0.430714
319.132	0.0792541	0.430947
319.312	0.0793428	0.431181
319.492	0.0794315	0.431415
319.672	0.0795203	0.431649
319.851	0.0796091	0.431882
320.031	0.079698	0.432116
320.211	0.079787	0.43235
320.391	0.0798759	0.432584
320.571	0.079965	0.432817
320.751	0.080054	0.433051
320.931	0.0801432	0.433285
321.11	0.0802323	0.433518
321.29	0.0803216	0.433752
321.47	0.0804108	0.433985
321.65	0.0805002	0.434219
321.83	0.0805895	0.434453
322.01	0.0806789	0.434686
322.19	0.0807684	0.43492
322.37	0.0808579	0.435153
322.549	0.0809475	0.435387
322.729	0.0810371	0.43562
322.909	0.0811267	0.435854
323.089	0.0812164	0.436087
323.269	0.0813062	0.436321
323.449	0.081396	0.436554
323.629	0.0814859	0.436787
323.808	0.0815758	0.437021
323.988	0.0816657	0.437254
324.168	0.0817557	0.437488
324.348	0.0818457	0.437721
324.528	0.0819358	0.437954
324.708	0.082026	0.438188
324.888	0.0821162	0.438421
325.067	0.0822064	0.438654
325.247	0.0822967	0.438888
325.427	0.082387	0.439121
325.607	0.0824774	0.439354
325.787	0.0825678	0.439587
325.967	0.0826583	0.439821
326.147	0.0827488	0.440054
326.326	0.0828394	0.440287
326.506	0.0829301	0.44052
326.686	0.0830207	0.440753
326.866	0.0831114	0.440986
327.046	0.0832022	0.441219
327.226	0.083293	0.441453
327.406	0.0833839	0.441686
327.586	0.0834748	0.441919
327.765	0.0835658	0.442152
327.945	0.0836568	0.442385
328.125	0.0837479	0.442618
328.305	0.083839	0.442851
328.485	0.0839301	0.443084
328.665	0.0840213	0.443317
328.845	0.0841126	0.44355
329.024	0.0842039	0.443783
329.204	0.0842952	0.444016
329.384	0.0843866	0.444249
329.564	0.0844781	0.444482
329.744	0.0845696	0.444714
329.924	0.0846611	0.444947
330.104	0.0847527	0.44518
330.283	0.0848443	0.445413
330.463	0.084936	0.445646
330.643	0.0850278	0.445879
330.823	0.0851196	0.446111
331.003	0.0852114	0.446344
331.183	0.0853033	0.446577
331.363	0.0853952	0.44681
331.543	0.0854872	0.447042
331.722	0.0855792	0.447275
331.902	0.0856713	0.447508
332.082	0.0857634	0.447741
332.262	0.0858556	0.447973
332.442	0.0859478	0.448206
332.622	0.0860401	0.448438
332.802	0.0861324	0.448671
332.981	0.0862247	0.448904
333.161	0.0863172	0.449136
333.341	0.0864096	0.449369
333.521	0.0865021	0.449601
333.701	0.0865947	0.449834
333.881	0.0866873	0.450066
334.061	0.0867799	0.450299
334.24	0.0868726	0.450531
334.42	0.0869654	0.450764
334.6	0.0870582	0.450996
334.78	0.087151	0.451229
334.96	0.0872439	0.451461
335.14	0.0873369	0.451694
335.32	0.0874299	0.451926
335.5	0.0875229	0.452158
335.679	0.087616	0.452391
335.859	0.0877091	0.452623
336.039	0.0878023	0.452855
336.219	0.0878956	0.453088
336.399	0.0879888	0.45332
336.579	0.0880822	0.453552
336.759	0.0881755	0.453785
336.938	0.088269	0.454017
337.118	0.0883624	0.454249
337.298	0.088456	0.454481
337.478	0.0885495	0.454714
337.658	0.0886432	0.454946
337.838	0.0887368	0.455178
338.018	0.0888305	0.45541
338.197	0.0889243	0.455642
338.377	0.0890181	0.455874
338.557	0.089112	0.456106
338.737	0.0892059	0.456338
338.917	0.0892998	0.456571
339.097	0.0893938	0.456803
339.277	0.0894879	0.457035
339.457	0.089582	0.457267
339.636	0.0896761	0.457499
339.816	0.0897703	0.457731
339.996	0.0898646	0.457963
340.176	0.0899589	0.458195
340.356	0.0900532	0.458427
340.536	0.0901476	0.458658
340.716	0.090242	0.45889
340.895	0.0903365	0.459122
341.075	0.0904311	0.459354
341.255	0.0905256	0.459586
341.435	0.0906203	0.459818
341.615	0.0907149	0.46005
341.795	0.0908097	0.460281
341.975	0.0909044	0.460513
342.154	0.0909993	0.460745
342.334	0.0910941	0.460977
342.514	0.0911891	0.461209
342.694	0.091284	0.46144
342.874	0.091379	0.461672
343.054	0.0914741	0.461904
343.234	0.0915692	0.462135
343.413	0.0916644	0.462367
343.593	0.0917596	0.462599
343.773	0.0918548	0.46283
343.953	0.0919501	0.463062
344.133	0.0920455	0.463294
344.313	0.0921409	0.463525
344.493	0.0922363	0.463757
344.673	0.0923318	0.463988
344.852	0.0924274	0.46422
345.032	0.092523	0.464451
345.212	0.0926186	0.464683
345.392	0.0927143	0.464914
345.572	0.09281	0.465146
345.752	0.0929058	0.465377
345.932	0.0930017	0.465609
346.111	0.0930975	0.46584
346.291	0.0931935	0.466071
346.471	0.0932894	0.466303
346.651	0.0933855	0.466534
346.831	0.0934815	0.466766
347.011	0.0935777	0.466997
347.191	0.0936738	0.467228
347.37	0.09377	0.467459
347.55	0.0938663	0.467691
347.73	0.0939626	0.467922
347.91	0.094059	0.468153
348.09	0.0941554	0.468385
348.27	0.0942519	0.468616
348.45	0.0943484	0.468847
348.63	0.0944449	0.469078
348.809	0.0945415	0.469309
348.989	0.0946382	0.46954
349.169	0.0947349	0.469772
349.349	0.0948316	0.470003
349.529	0.0949284	0.470234
349.709	0.0950252	0.470465
349.889	0.0951221	0.470696
350.068	0.0952191	0.470927
350.248	0.0953161	0.471158
350.428	0.0954131	0.471389
350.608	0.0955102	0.47162
350.788	0.0956073	0.471851
350.968	0.0957045	0.472082
351.148	0.0958017	0.472313
351.327	0.095899	0.472544
351.507	0.0959963	0.472775
351.687	0.0960937	0.473006
351.867	0.0961911	0.473237
352.047	0.0962885	0.473467
352.227	0.0963861	0.473698
352.407	0.0964836	0.473929
352.587	0.0965812	0.47416
352.766	0.0966789	0.474391
352.946	0.0967766	0.474622
353.126	0.0968743	0.474852
353.306	0.0969721	0.475083
353.486	0.09707	0.475314
353.666	0.0971679	0.475545
353.846	0.0972658	0.475775
354.025	0.0973638	0.476006
354.205	0.0974619	0.476237
354.385	0.09756	0.476467
354.565	0.0976581	0.476698
354.745	0.0977563	0.476928
354.925	0.0978545	0.477159
355.105	0.0979528	0.47739
355.284	0.0980511	0.47762
355.464	0.0981495	0.477851
355.644	0.0982479	0.478081
355.824	0.0983464	0.478312
356.004	0.0984449	0.478542
356.184	0.0985435	0.478773
356.364	0.0986421	0.479003
356.543	0.0987408	0.479234
356.723	0.0988395	0.479464
356.903	0.0989382	0.479695
357.083	0.099037	0.479925
357.263	0.0991359	0.480155
357.443	0.0992348	0.480386
357.623	0.0993338	0.480616
357.803	0.0994328	0.480846
357.982	0.0995318	0.481077
358.162	0.0996309	0.481307
358.342	0.09973	0.481537
358.522	0.0998292	0.481767
358.702	0.0999285	0.481998
358.882	0.100028	0.482228
359.062	0.100127	0.482458
359.241	0.100226	0.482688
359.421	0.100326	0.482918
359.601	0.100425	0.483149
359.781	0.100525	0.483379
359.961	0.100624	0.483609
360.141	0.100724	0.483839
360.321	0.100824	0.484069
360.5	0.100923	0.484299
360.68	0.101023	0.484529
360.86	0.101123	0.484759
361.04	0.101223	0.484989
361.22	0.101323	0.485219
361.4	0.101423	0.485449
361.58	0.101523	0.485679
361.76	0.101623	0.485909
361.939	0.101723	0.486139
362.119	0.101823	0.486369
362.299	0.101923	0.486599
362.479	0.102024	0.486829
362.659	0.102124	0.487059
362.839	0.102224	0.487288
363.019	0.102325	0.487518
363.198	0.102425	0.487748
363.378	0.102525	0.487978
363.558	0.102626	0.488208
363.738	0.102727	0.488437
363.918	0.102827	0.488667
364.098	0.102928	0.488897
364.278	0.103029	0.489127
364.457	0.103129	0.489356
364.637	0.10323	0.489586
364.817	0.103331	0.489816
364.997	0.103432	0.490045
365.177	0.103533	0.490275
365.357	0.103634	0.490505
365.537	0.103735	0.490734
365.717	0.103836	0.490964
365.896	0.103937	0.491193
366.076	0.104038	0.491423
366.256	0.10414	0.491652
366.436	0.104241	0.491882
366.616	0.104342	0.492111
366.796	0.104444	0.492341
366.976	0.104545	0.49257
367.155	0.104647	0.4928
367.335	0.104748	0.493029
367.515	0.10485	0.493258
367.695	0.104951	0.493488
367.875	0.105053	0.493717
368.055	0.105155	0.493946
368.235	0.105257	0.494176
368.414	0.105358	0.494405
368.594	0.10546	0.494634
368.774	0.105562	0.494864
368.954	0.105664	0.495093
369.134	0.105766	0.495322
369.314	0.105868	0.495551
369.494	0.10597	0.495781
369.674	0.106072	0.49601
369.853	0.106175	0.496239
370.033	0.106277	0.496468
370.213	0.106379	0.496697
370.393	0.106482	0.496926
370.573	0.106584	0.497155
370.753	0.106686	0.497384
370.933	0.106789	0.497613
371.112	0.106891	0.497843
371.292	0.106994	0.498072
371.472	0.107097	0.498301
371.652	0.107199	0.49853
371.832	0.107302	0.498759
372.012	0.107405	0.498987
372.192	0.107508	0.499216
372.371	0.10761	0.499445
372.551	0.107713	0.499674
372.731	0.107816	0.499903
372.911	0.107919	0.500132
373.091	0.108022	0.500361
373.271	0.108126	0.50059
373.451	0.108229	0.500818
373.63	0.108332	0.501047
373.81	0.108435	0.501276
373.99	0.108538	0.501505
374.17	0.108642	0.501734
374.35	0.108745	0.501962
374.53	0.108849	0.502191
374.71	0.108952	0.50242
374.89	0.109056	0.502648
375.069	0.109159	0.502877
375.249	0.109263	0.503106
375.429	0.109367	0.503334
375.609	0.10947	0.503563
375.789	0.109574	0.503791
375.969	0.109678	0.50402
376.149	0.109782	0.504248
376.328	0.109886	0.504477
376.508	0.10999	0.504705
376.688	0.110094	0.504934
376.868	0.110198	0.505162
377.048	0.110302	0.505391
377.228	0.110406	0.505619
377.408	0.11051	0.505848
377.587	0.110614	0.506076
377.767	0.110719	0.506305
377.947	0.110823	0.506533
378.127	0.110927	0.506761
378.307	0.111032	0.50699
378.487	0.111136	0.507218
378.667	0.111241	0.507446
378.847	0.111345	0.507674
379.026	0.11145	0.507903
379.206	0.111555	0.508131
379.386	0.111659	0.508359
379.566	0.111764	0.508587
379.746	0.111869	0.508816
379.926	0.111974	0.509044
380.106	0.112079	0.509272
380.285	0.112184	0.5095
380.465	0.112289	0.509728
380.645	0.112394	0.509956
380.825	0.112499	0.510184
381.005	0.112604	0.510412
381.185	0.112709	0.51064
381.365	0.112815	0.510868
381.544	0.11292	0.511096
381.724	0.113025	0.511324
381.904	0.113131	0.511552
382.084	0.113236	0.51178
382.264	0.113342	0.512008
382.444	0.113447	0.512236
382.624	0.113553	0.512464
382.804	0.113658	0.512692
382.983	0.113764	0.51292
383.163	0.11387	0.513148
383.343	0.113975	0.513375
383.523	0.114081	0.513603
383.703	0.114187	0.513831
383.883	0.114293	0.514059
384.063	0.114399	0.514287
384.242	0.114505	0.514514
384.422	0.114611	0.514742
384.602	0.114717	0.51497
384.782	0.114823	0.515197
384.962	0.11493	0.515425
385.142	0.115036	0.515653
385.322	0.115142	0.51588
385.501	0.115248	0.516108
385.681	0.115355	0.516335
385.861	0.115461	0.516563
386.041	0.115568	0.516791
386.221	0.115674	0.517018
386.401	0.115781	0.517246
386.581	0.115887	0.517473
386.761	0.115994	0.517701
386.94	0.116101	0.517928
387.12	0.116208	0.518155
387.3	0.116314	0.518383
387.48	0.116421	0.51861
387.66	0.116528	0.518838
387.84	0.116635	0.519065
388.02	0.116742	0.519292
388.199	0.116849	0.51952
388.379	0.116956	0.519747
388.559	0.117063	0.519974
388.739	0.117171	0.520201
388.919	0.117278	0.520429
389.099	0.117385	0.520656
389.279	0.117492	0.520883
389.458	0.1176	0.52111
389.638	0.117707	0.521338
389.818	0.117815	0.521565
389.998	0.117922	0.521792
390.178	0.11803	0.522019
390.358	0.118138	0.522246
390.538	0.118245	0.522473
390.717	0.118353	0.5227
390.897	0.118461	0.522927
391.077	0.118568	0.523154
391.257	0.118676	0.523381
391.437	0.118784	0.523608
391.617	0.118892	0.523835
391.797	0.119	0.524062
391.977	0.119108	0.524289
392.156	0.119216	0.524516
392.336	0.119324	0.524743
392.516	0.119433	0.52497
392.696	0.119541	0.525197
392.876	0.119649	0.525424
393.056	0.119757	0.52565
393.236	0.119866	0.525877
393.415	0.119974	0.526104
393.595	0.120083	0.526331
393.775	0.120191	0.526558
393.955	0.1203	0.526784
394.135	0.120408	0.527011
394.315	0.120517	0.527238
394.495	0.120626	0.527464
394.674	0.120735	0.527691
394.854	0.120843	0.527918
395.034	0.120952	0.528144
395.214	0.121061	0.528371
395.394	0.12117	0.528597
395.574	0.121279	0.528824
395.754	0.121388	0.529051
395.934	0.121497	0.529277
396.113	0.121606	0.529504
396.293	0.121715	0.52973
396.473	0.121825	0.529956
396.653	0.121934	0.530183
396.833	0.122043	0.530409
397.013	0.122153	0.530636
397.193	0.122262	0.530862
397.372	0.122372	0.531089
397.552	0.122481	0.531315
397.732	0.122591	0.531541
397.912	0.1227	0.531768
398.092	0.12281	0.531994
398.272	0.12292	0.53222
398.452	0.123029	0.532446
398.631	0.123139	0.532673
398.811	0.123249	0.532899
398.991	0.123359	0.533125
399.171	0.123469	0.533351
399.351	0.123579	0.533577
399.531	0.123689	0.533804
399.711	0.123799	0.53403
399.891	0.123909	0.534256
400.07	0.124019	0.534482
400.25	0.124129	0.534708
400.43	0.12424	0.534934
400.61	0.12435	0.53516
400.79	0.12446	0.535386
400.97	0.124571	0.535612
401.15	0.124681	0.535838
401.329	0.124792	0.536064
401.509	0.124902	0.53629
401.689	0.125013	0.536516
401.869	0.125123	0.536742
402.049	0.125234	0.536968
402.229	0.125345	0.537193
402.409	0.125456	0.537419
402.588	0.125567	0.537645
402.768	0.125677	0.537871
402.948	0.125788	0.538097
403.128	0.125899	0.538322
403.308	0.12601	0.538548
403.488	0.126121	0.538774
403.668	0.126233	0.539
403.848	0.126344	0.539225
404.027	0.126455	0.539451
404.207	0.126566	0.539677
404.387	0.126677	0.539902
404.567	0.126789	0.540128
404.747	0.1269	0.540354
404.927	0.127012	0.540579
405.107	0.127123	0.540805
405.286	0.127235	0.54103
405.466	0.127346	0.541256
405.646	0.127458	0.541481
405.826	0.12757	0.541707
406.006	0.127681	0.541932
406.186	0.127793	0.542158
406.366	0.127905	0.542383
406.545	0.128017	0.542608
406.725	0.128129	0.542834
406.905	0.128241	0.543059
407.085	0.128353	0.543284
407.265	0.128465	0.54351
407.445	0.128577	0.543735
407.625	0.128689	0.54396
407.804	0.128801	0.544186
407.984	0.128913	0.544411
408.164	0.129026	0.544636
408.344	0.129138	0.544861
408.524	0.12925	0.545087
408.704	0.129363	0.545312
408.884	0.129475	0.545537
409.064	0.129588	0.545762
409.243	0.1297	0.545987
409.423	0.129813	0.546212
409.603	0.129926	0.546437
409.783	0.130038	0.546662
409.963	0.130151	0.546887
410.143	0.130264	0.547112
410.323	0.130377	0.547337
410.502	0.13049	0.547562
410.682	0.130603	0.547787
410.862	0.130716	0.548012
411.042	0.130829	0.548237
411.222	0.130942	0.548462
411.402	0.131055	0.548687
411.582	0.131168	0.548912
411.761	0.131281	0.549137
411.941	0.131395	0.549361
412.121	0.131508	0.549586
412.301	0.131621	0.549811
412.481	0.131735	0.550036
412.661	0.131848	0.55026
412.841	0.131962	0.550485
413.021	0.132075	0.55071
413.2	0.132189	0.550935
413.38	0.132303	0.551159
413.56	0.132416	0.551384
413.74	0.13253	0.551608
413.92	0.132644	0.551833
414.1	0.132758	0.552058
414.28	0.132872	0.552282
414.459	0.132986	0.552507
414.639	0.1331	0.552731
414.819	0.133214	0.552956
414.999	0.133328	0.55318
415.179	0.133442	0.553405
415.359	0.133556	0.553629
415.539	0.13367	0.553854
415.718	0.133784	0.554078
415.898	0.133899	0.554302
416.078	0.134013	0.554527
416.258	0.134127	0.554751
416.438	0.134242	0.554975
416.618	0.134356	0.5552
416.798	0.134471	0.555424
416.978	0.134586	0.555648
417.157	0.1347	0.555873
417.337	0.134815	0.556097
417.517	0.13493	0.556321
417.697	0.135044	0.556545
417.877	0.135159	0.556769
418.057	0.135274	0.556994
418.237	0.135389	0.557218
418.416	0.135504	0.557442
418.596	0.135619	0.557666
418.776	0.135734	0.55789
418.956	0.135849	0.558114
419.136	0.135964	0.558338
419.316	0.13608	0.558562
419.496	0.136195	0.558786
419.675	0.13631	0.55901
419.855	0.136425	0.559234
420.035	0.136541	0.559458
420.215	0.136656	0.559682
420.395	0.136772	0.559906
420.575	0.136887	0.56013
420.755	0.137003	0.560353
420.935	0.137118	0.560577
421.114	0.137234	0.560801
421.294	0.13735	0.561025
421.474	0.137466	0.561249
421.654	0.137581	0.561472
421.834	0.137697	0.561696
422.014	0.137813	0.56192
422.194	0.137929	0.562143
422.373	0.138045	0.562367
422.553	0.138161	0.562591
422.733	0.138277	0.562814
422.913	0.138393	0.563038
423.093	0.13851	0.563262
423.273	0.138626	0.563485
423.453	0.138742	0.563709
423.632	0.138858	0.563932
423.812	0.138975	0.564156
423.992	0.139091	0.564379
424.172	0.139208	0.564603
424.352	0.139324	0.564826
424.532	0.139441	0.56505
424.712	0.139557	0.565273
424.891	0.139674	0.565496
425.071	0.139791	0.56572
425.251	0.139907	0.565943
425.431	0.140024	0.566167
425.611	0.140141	0.56639
425.791	0.140258	0.566613
425.971	0.140375	0.566836
426.151	0.140492	0.56706
426.33	0.140609	0.567283
426.51	0.140726	0.567506
426.69	0.140843	0.567729
426.87	0.14096	0.567952
427.05	0.141077	0.568176
427.23	0.141195	0.568399
427.41	0.141312	0.568622
427.589	0.141429	0.568845
427.769	0.141547	0.569068
427.949	0.141664	0.569291
428.129	0.141782	0.569514
428.309	0.141899	0.569737
428.489	0.142017	0.56996
428.669	0.142135	0.570183
428.848	0.142252	0.570406
